H,AVG,HR,RBI,SLG,OBP,Inducted
3771,0.305,755,2297,0.555,0.374,Y
1082,0.269,37,303,0.368,0.340,N
1588,0.286,9,394,0.353,0.343,N
999,0.255,130,433,0.412,0.320,N
815,0.239,73,351,0.357,0.314,N
1848,0.292,351,1119,0.534,0.378,N
999,0.254,55,342,0.354,0.310,N
2724,0.300,210,1134,0.443,0.371,Y
1236,0.273,112,588,0.406,0.309,N
2101,0.286,206,852,0.433,0.328,N
1216,0.280,32,377,0.353,0.305,N
1777,0.307,31,427,0.381,0.345,N
1661,0.256,210,761,0.425,0.362,N
3418,0.333,97,2076,0.445,0.405,Y
2677,0.262,83,791,0.343,0.311,Y
2749,0.310,45,1116,0.398,0.399,Y
2574,0.308,29,586,0.382,0.396,Y
1328,0.246,13,390,0.314,0.326,N
2019,0.318,238,1164,0.534,0.395,Y
1583,0.291,134,774,0.423,0.332,N
2314,0.297,449,1529,0.540,0.408,N
1564,0.257,189,773,0.403,0.347,N
2866,0.289,384,1628,0.465,0.356,N
1981,0.278,242,1013,0.432,0.347,N
1838,0.307,96,987,0.442,0.363,Y
2004,0.279,32,591,0.358,0.355,Y
1790,0.254,242,1039,0.408,0.352,N
2583,0.274,512,1636,0.500,0.330,Y
1009,0.243,10,429,0.303,0.321,N
2165,0.284,79,710,0.391,0.355,N
1424,0.277,164,703,0.439,0.346,N
2135,0.260,338,1276,0.436,0.342,N
1759,0.311,39,617,0.393,0.362,N
1473,0.283,22,360,0.345,0.318,N
2930,0.308,86,1575,0.435,0.361,Y
1316,0.228,20,389,0.280,0.300,N
2514,0.279,201,1106,0.406,0.341,N
1726,0.295,381,1239,0.564,0.369,N
1702,0.278,265,1002,0.469,0.316,N
1963,0.265,195,860,0.416,0.343,N
2048,0.267,389,1376,0.476,0.342,Y
1550,0.300,242,898,0.522,0.359,N
2150,0.285,358,1430,0.482,0.348,Y
1053,0.255,58,343,0.344,0.308,N
1906,0.299,274,1141,0.499,0.336,N
1205,0.287,17,324,0.369,0.345,N
3060,0.281,291,1175,0.433,0.363,N
1216,0.271,41,379,0.366,0.423,N
1513,0.250,134,620,0.382,0.302,N
1751,0.272,43,848,0.356,0.352,N
1696,0.287,44,695,0.401,0.402,N
1011,0.275,43,516,0.396,0.335,N
3010,0.328,118,1014,0.443,0.415,Y
2935,0.298,762,1996,0.607,0.444,N
1886,0.268,332,1024,0.471,0.353,N
2010,0.279,287,1173,0.472,0.358,N
1838,0.254,105,826,0.346,0.315,N
1775,0.266,252,1021,0.442,0.325,N
2313,0.310,219,1422,0.500,0.369,Y
1779,0.295,68,789,0.415,0.380,Y
2191,0.260,15,525,0.320,0.300,N
1396,0.242,162,654,0.372,0.299,N
2143,0.287,282,1141,0.462,0.349,N
1471,0.271,33,552,0.371,0.317,N
1252,0.279,26,530,0.377,0.386,N
3154,0.305,317,1595,0.487,0.369,Y
1041,0.253,139,507,0.416,0.355,N
3023,0.293,149,900,0.410,0.343,Y
1608,0.269,149,824,0.403,0.315,N
1001,0.257,141,531,0.422,0.323,N
2296,0.342,106,1296,0.519,0.439,Y
803,0.233,47,254,0.313,0.300,N
1651,0.273,94,545,0.393,0.328,N
2715,0.289,174,1208,0.408,0.321,N
1273,0.254,310,965,0.494,0.359,N
1422,0.281,54,402,0.378,0.343,N
1318,0.295,126,673,0.446,0.362,N
2850,0.338,75,952,0.446,0.415,N
2107,0.291,352,1206,0.510,0.363,N
1401,0.273,50,449,0.361,0.328,N
1447,0.253,315,981,0.481,0.345,N
2077,0.287,41,611,0.384,0.366,N
1443,0.261,240,882,0.439,0.355,N
1804,0.250,9,436,0.300,0.356,N
2375,0.290,54,578,0.376,0.377,N
1757,0.264,226,840,0.441,0.331,N
1482,0.277,239,950,0.492,0.388,N
1710,0.272,239,983,0.447,0.347,N
2249,0.259,79,646,0.342,0.311,N
1161,0.276,242,856,0.500,0.360,Y
1877,0.266,462,1407,0.515,0.353,N
1913,0.275,138,775,0.395,0.333,N
1725,0.257,118,689,0.367,0.311,N
3053,0.328,92,1015,0.429,0.393,Y
2665,0.285,70,800,0.386,0.361,Y
1199,0.258,55,474,0.342,0.333,N
2092,0.262,324,1225,0.439,0.335,Y
2184,0.259,396,1445,0.464,0.306,N
1677,0.299,204,890,0.464,0.369,N
1415,0.282,21,377,0.358,0.341,N
1571,0.283,21,426,0.358,0.334,N
1820,0.271,377,1103,0.488,0.374,N
1884,0.276,320,1105,0.476,0.321,N
1977,0.293,95,920,0.416,0.372,N
2087,0.285,199,976,0.443,0.347,N
2351,0.297,379,1365,0.499,0.350,Y
1868,0.261,316,1139,0.445,0.354,N
2109,0.279,185,972,0.415,0.334,N
1273,0.296,20,596,0.394,0.394,N
1958,0.302,90,977,0.440,0.383,N
1053,0.278,17,364,0.377,0.358,N
1329,0.266,180,773,0.438,0.342,N
2158,0.291,57,941,0.391,0.319,N
1598,0.296,112,727,0.430,0.366,N
990,0.267,29,423,0.360,0.308,N
2672,0.312,67,1015,0.429,0.386,N
1230,0.256,27,304,0.313,0.308,N
1826,0.267,340,1180,0.476,0.379,N
2176,0.303,284,1205,0.497,0.384,N
1904,0.258,110,723,0.367,0.312,N
3000,0.317,240,1305,0.475,0.359,Y
4189,0.366,117,1937,0.512,0.433,Y
1652,0.320,119,832,0.478,0.419,Y
1730,0.266,374,1159,0.489,0.359,N
1425,0.264,28,346,0.345,0.324,N
3315,0.333,47,1300,0.429,0.424,Y
1999,0.294,65,983,0.409,0.343,N
1687,0.264,22,709,0.364,0.306,N
1866,0.325,58,632,0.462,0.397,Y
1530,0.264,29,883,0.338,0.294,Y
2326,0.267,101,950,0.357,0.322,N
1982,0.285,214,1071,0.443,0.347,N
2467,0.317,138,1322,0.486,0.406,Y
1257,0.248,22,452,0.329,0.301,N
2192,0.298,241,1125,0.466,0.337,N
1341,0.285,173,812,0.464,0.332,N
974,0.262,66,351,0.380,0.318,N
2705,0.296,37,842,0.375,0.340,N
1276,0.254,179,657,0.404,0.312,N
1134,0.287,119,719,0.478,0.380,N
2961,0.309,97,1525,0.452,0.362,Y
709,0.221,11,342,0.290,0.295,N
1591,0.268,38,531,0.352,0.303,N
2285,0.301,170,1424,0.468,0.390,Y
1541,0.245,98,649,0.354,0.341,N
2645,0.292,47,1371,0.382,0.328,N
2251,0.284,165,1077,0.420,0.354,N
1729,0.280,94,884,0.394,0.343,N
2299,0.321,128,1065,0.474,0.386,Y
2457,0.272,84,1233,0.382,0.358,N
2089,0.289,126,757,0.411,0.333,N
2326,0.303,56,722,0.401,0.360,N
984,0.257,43,372,0.343,0.310,N
891,0.245,137,588,0.427,0.357,N
1122,0.279,36,329,0.364,0.315,N
2380,0.274,350,1372,0.451,0.360,N
1430,0.269,282,934,0.482,0.359,N
2660,0.295,73,1437,0.405,0.361,Y
1841,0.277,75,951,0.408,0.335,N
1312,0.308,77,647,0.430,0.369,N
2121,0.294,153,1052,0.405,0.329,N
2774,0.279,438,1591,0.482,0.323,Y
1505,0.259,237,879,0.445,0.329,N
2596,0.346,101,1464,0.505,0.411,N
1093,0.233,96,471,0.347,0.319,N
1114,0.247,40,423,0.321,0.297,N
1969,0.313,202,1209,0.486,0.382,Y
1680,0.298,87,618,0.419,0.383,N
2214,0.325,361,1537,0.579,0.398,Y
966,0.258,28,355,0.341,0.292,N
1515,0.283,253,970,0.490,0.386,Y
2042,0.288,223,1247,0.461,0.362,Y
1282,0.333,51,543,0.468,0.386,N
961,0.240,10,344,0.298,0.272,N
2099,0.267,275,1073,0.425,0.370,N
1806,0.299,26,968,0.385,0.351,N
1887,0.290,74,793,0.408,0.357,N
1113,0.270,152,704,0.432,0.326,N
2282,0.324,106,1302,0.449,0.384,N
1516,0.280,42,571,0.372,0.317,N
1597,0.269,150,668,0.416,0.296,N
1320,0.247,24,567,0.320,0.299,Y
2256,0.280,108,1071,0.399,0.365,N
1298,0.285,81,404,0.419,0.375,N
1106,0.242,81,524,0.353,0.311,N
1160,0.290,52,477,0.404,0.341,N
1235,0.271,10,535,0.339,0.355,N
2061,0.289,170,1195,0.440,0.375,N
2063,0.284,288,1284,0.472,0.340,N
2223,0.248,414,1354,0.431,0.361,N
2446,0.272,385,1384,0.470,0.370,N
1659,0.270,12,538,0.334,0.356,N
1625,0.303,71,883,0.456,0.372,N
1913,0.266,215,1044,0.408,0.360,N
719,0.240,122,445,0.409,0.358,N
2276,0.288,94,844,0.399,0.347,N
1692,0.281,28,734,0.363,0.378,Y
1313,0.255,319,1008,0.482,0.345,N
2548,0.271,304,1167,0.442,0.332,N
2356,0.269,376,1330,0.457,0.341,Y
1534,0.277,32,675,0.365,0.319,N
1752,0.313,48,756,0.445,0.389,Y
1861,0.293,85,636,0.389,0.342,N
1075,0.316,31,485,0.432,0.355,N
1490,0.264,6,451,0.326,0.329,N
1925,0.274,348,1239,0.480,0.338,N
2663,0.288,35,790,0.363,0.348,Y
