H,AVG,HR,RBI,SLG,OBP,Inducted
882,0.264,25,241,0.346,0.313,N
931,0.295,63,428,0.419,0.329,N
635,0.231,14,238,0.280,0.313,N
874,0.248,62,451,0.358,0.292,N
887,0.269,77,399,0.388,0.328,N
778,0.252,133,415,0.444,0.347,N
713,0.245,108,424,0.408,0.337,N
722,0.270,38,387,0.391,0.334,N
833,0.243,173,520,0.451,0.322,N
917,0.263,86,421,0.397,0.330,N
1021,0.270,104,598,0.418,0.322,N
1210,0.281,80,486,0.419,0.355,N
4,0.118,0,5,0.176,0.118,N
733,0.246,21,278,0.318,0.311,N
722,0.264,96,358,0.427,0.387,N
910,0.293,17,328,0.379,0.355,N
934,0.241,5,396,0.305,0.323,N
812,0.235,136,480,0.407,0.284,N
901,0.262,164,529,0.460,0.332,N
1040,0.275,31,497,0.367,0.339,N
929,0.283,67,426,0.409,0.365,N
881,0.276,70,541,0.437,0.344,N
847,0.254,144,531,0.448,0.323,N
709,0.221,11,342,0.290,0.295,N
794,0.248,110,462,0.399,0.338,N
805,0.267,132,467,0.464,0.341,N
719,0.240,122,445,0.409,0.358,N
895,0.247,111,373,0.390,0.302,N
924,0.276,28,327,0.370,0.336,N
781,0.247,67,387,0.369,0.320,N
965,0.259,190,603,0.467,0.332,N
1031,0.276,12,277,0.350,0.325,N
655,0.264,44,264,0.384,0.311,N
1096,0.281,42,312,0.379,0.339,N
732,0.244,27,260,0.324,0.313,N
714,0.241,27,269,0.327,0.285,N
1301,0.294,213,750,0.507,0.371,N
1190,0.280,204,786,0.492,0.351,N
765,0.230,81,375,0.350,0.271,N
536,0.240,20,202,0.318,0.332,N
666,0.251,85,345,0.409,0.307,N
1010,0.290,25,272,0.389,0.342,N
909,0.254,121,494,0.415,0.351,N
854,0.271,28,401,0.364,0.328,N
1007,0.253,12,469,0.311,0.322,N
1047,0.277,218,685,0.499,0.340,N
877,0.257,64,333,0.369,0.300,N
580,0.238,39,212,0.346,0.327,N
898,0.247,4,254,0.296,0.339,N
1058,0.286,78,376,0.421,0.369,N
693,0.271,66,329,0.406,0.381,N
768,0.260,70,331,0.392,0.312,Y
978,0.269,23,451,0.361,0.313,N
1028,0.290,26,255,0.383,0.357,N
799,0.256,91,387,0.397,0.298,N
1166,0.305,119,614,0.478,0.387,N
847,0.255,106,428,0.397,0.327,N
1100,0.271,300,920,0.551,0.364,N
788,0.249,2,297,0.283,0.335,N
989,0.268,29,281,0.371,0.362,N
1060,0.249,1,373,0.296,0.000,N
742,0.261,18,234,0.334,0.358,N
1115,0.311,38,553,0.423,0.376,N
601,0.242,18,209,0.314,0.313,N
754,0.243,24,239,0.308,0.291,N
613,0.263,59,299,0.407,0.335,N
1114,0.268,197,684,0.482,0.338,N
1108,0.283,36,323,0.371,0.309,N
795,0.252,88,382,0.399,0.304,N
1118,0.299,48,506,0.421,0.368,N
841,0.237,41,271,0.327,0.292,N
1104,0.282,32,482,0.379,0.332,N
1054,0.278,201,694,0.507,0.381,N
751,0.238,4,240,0.283,0.273,N
971,0.270,148,530,0.446,0.321,N
959,0.267,67,428,0.400,0.360,N
739,0.239,70,313,0.364,0.281,N
743,0.258,26,298,0.361,0.334,N
501,0.250,12,134,0.319,0.370,N
1130,0.266,17,534,0.374,0.320,N
738,0.241,19,219,0.314,0.300,N
709,0.222,22,229,0.289,0.277,N
1004,0.272,11,389,0.344,0.349,N
1249,0.273,148,601,0.433,0.322,N
722,0.236,44,228,0.322,0.288,N
958,0.270,58,436,0.400,0.333,N
717,0.253,13,263,0.324,0.314,N
976,0.271,125,481,0.440,0.364,N
1199,0.274,86,465,0.407,0.329,N
916,0.262,66,421,0.377,0.305,N
945,0.269,40,486,0.377,0.360,N
935,0.254,9,324,0.316,0.295,N
1256,0.286,28,644,0.392,0.332,N
1063,0.285,192,717,0.495,0.384,N
852,0.251,13,392,0.314,0.287,N
916,0.267,80,544,0.408,0.328,N
827,0.248,125,440,0.436,0.308,N
849,0.252,80,395,0.377,0.290,N
1282,0.333,51,543,0.468,0.386,N
972,0.252,15,380,0.319,0.299,N
618,0.225,58,321,0.343,0.284,N
1484,0.291,92,480,0.440,0.342,N
1011,0.275,43,516,0.396,0.335,N
10,0.083,0,2,0.083,0.126,N
738,0.270,21,322,0.358,0.351,N
582,0.257,84,322,0.420,0.330,N
1053,0.278,17,364,0.377,0.358,N
1459,0.308,177,715,0.503,0.351,N
1386,0.326,52,757,0.458,0.395,N
925,0.263,98,424,0.422,0.320,N
992,0.263,14,381,0.351,0.319,N
934,0.261,47,373,0.367,0.322,N
1067,0.278,82,445,0.413,0.336,N
917,0.271,1,263,0.316,0.325,N
982,0.281,107,451,0.438,0.342,N
974,0.262,66,351,0.380,0.318,N
964,0.251,4,336,0.303,0.294,N
655,0.249,83,278,0.410,0.312,N
682,0.232,194,467,0.485,0.329,N
966,0.268,50,447,0.383,0.335,N
813,0.236,82,381,0.350,0.292,N
1085,0.256,209,673,0.467,0.361,N
1071,0.289,73,573,0.441,0.352,N
835,0.255,62,356,0.358,0.297,N
978,0.256,55,533,0.387,0.346,N
670,0.247,121,410,0.434,0.351,N
952,0.276,13,254,0.344,0.354,N
894,0.238,4,295,0.295,0.322,N
903,0.249,31,333,0.328,0.312,N
992,0.277,147,530,0.475,0.356,N
902,0.247,149,488,0.425,0.291,N
795,0.246,32,270,0.324,0.317,N
956,0.279,57,501,0.398,0.342,N
38,0.088,1,21,0.106,0.139,Y
1418,0.299,15,544,0.367,0.000,N
939,0.227,7,380,0.288,0.271,N
970,0.262,75,391,0.387,0.339,N
1153,0.299,63,430,0.420,0.345,N
1066,0.269,4,319,0.343,0.346,N
870,0.249,6,303,0.297,0.303,N
789,0.254,86,379,0.404,0.336,N
1030,0.303,91,528,0.455,0.380,N
1201,0.291,29,396,0.384,0.364,N
832,0.279,131,499,0.466,0.337,N
920,0.251,5,376,0.312,0.303,N
831,0.247,102,476,0.391,0.299,N
946,0.264,17,407,0.342,0.317,N
935,0.264,22,261,0.331,0.317,N
707,0.232,22,317,0.324,0.296,N
710,0.233,55,327,0.335,0.322,N
1081,0.271,29,393,0.353,0.305,N
928,0.250,14,303,0.309,0.303,N
1176,0.295,59,614,0.440,0.331,N
1267,0.311,42,533,0.417,0.362,N
1112,0.286,80,481,0.409,0.337,N
877,0.245,127,490,0.403,0.307,N
874,0.276,108,513,0.450,0.352,N
1121,0.296,135,659,0.492,0.360,N
976,0.280,68,428,0.413,0.352,N
949,0.254,105,480,0.401,0.308,N
1067,0.253,23,569,0.327,0.315,N
966,0.258,28,355,0.341,0.292,N
1120,0.254,31,631,0.337,0.294,N
996,0.232,25,404,0.338,0.260,N
899,0.271,66,405,0.405,0.360,N
819,0.264,90,455,0.420,0.336,N
876,0.260,112,435,0.419,0.305,N
833,0.220,3,346,0.273,0.269,N
1020,0.270,9,289,0.325,0.356,N
1069,0.265,20,493,0.344,0.318,N
1203,0.287,7,474,0.364,0.333,N
995,0.274,137,555,0.464,0.364,N
1109,0.266,57,373,0.364,0.303,N
786,0.239,61,340,0.341,0.350,N
857,0.275,65,453,0.410,0.348,N
876,0.257,166,565,0.457,0.340,N
3,0.088,0,1,0.088,0.088,N
773,0.235,91,352,0.372,0.290,N
819,0.234,8,321,0.295,0.284,N
1217,0.267,13,495,0.340,0.334,N
785,0.252,52,339,0.358,0.314,N
901,0.244,105,428,0.380,0.327,N
736,0.256,101,398,0.435,0.338,N
958,0.256,115,488,0.408,0.337,N
831,0.253,69,346,0.375,0.288,N
1283,0.288,59,353,0.392,0.342,N
1309,0.334,13,462,0.410,0.466,N
865,0.273,40,274,0.371,0.340,N
1073,0.267,10,391,0.330,0.321,N
893,0.275,10,240,0.339,0.349,N
1176,0.273,18,303,0.339,0.318,N
1209,0.276,75,478,0.391,0.340,N
601,0.229,36,234,0.327,0.268,N
799,0.268,82,386,0.420,0.329,N
727,0.233,121,396,0.395,0.337,N
1093,0.279,124,558,0.454,0.360,N
927,0.270,93,458,0.412,0.340,N
819,0.252,35,285,0.341,0.333,N
1064,0.325,36,582,0.459,0.368,N
1426,0.301,204,818,0.506,0.381,N
1104,0.281,61,391,0.402,0.336,N
600,0.249,89,338,0.419,0.339,N
1104,0.281,95,525,0.445,0.352,N
1152,0.263,16,503,0.353,0.345,N
776,0.255,87,396,0.395,0.313,N
661,0.244,32,263,0.344,0.303,N
1055,0.264,189,668,0.468,0.329,N
1275,0.288,199,739,0.500,0.376,N
912,0.265,163,563,0.459,0.307,N
1124,0.271,84,440,0.401,0.324,N
929,0.242,77,366,0.343,0.314,N
959,0.249,125,584,0.413,0.324,N
700,0.239,42,282,0.328,0.320,N
1090,0.282,95,575,0.437,0.369,N
1055,0.264,228,743,0.489,0.316,N
941,0.222,24,358,0.313,0.297,N
991,0.261,80,454,0.389,0.321,N
1018,0.295,125,544,0.474,0.373,N
1122,0.258,9,354,0.320,0.310,N
1100,0.277,59,333,0.380,0.315,N
877,0.254,115,432,0.418,0.305,N
1087,0.278,27,514,0.377,0.353,N
1202,0.259,18,543,0.322,0.281,N
944,0.253,86,459,0.379,0.293,N
871,0.273,98,401,0.439,0.328,N
1035,0.277,30,294,0.369,0.348,N
1056,0.250,13,455,0.326,0.289,N
967,0.266,38,357,0.350,0.338,N
1219,0.294,94,723,0.447,0.328,N
975,0.276,61,456,0.405,0.357,N
813,0.236,49,281,0.325,0.274,N
1333,0.310,62,755,0.443,0.408,N
1230,0.257,31,564,0.350,0.274,N
1138,0.278,27,514,0.380,0.340,N
1052,0.278,170,578,0.467,0.345,N
699,0.240,117,401,0.411,0.326,N
1194,0.265,99,490,0.394,0.331,N
1235,0.293,82,713,0.462,0.346,N
1245,0.264,145,643,0.422,0.327,N
1244,0.312,41,403,0.416,0.368,N
910,0.245,9,292,0.304,0.293,N
869,0.244,57,323,0.344,0.341,N
803,0.233,47,254,0.313,0.300,N
999,0.255,130,433,0.412,0.320,N
946,0.280,38,375,0.377,0.313,N
1129,0.254,32,558,0.332,0.303,N
1032,0.254,15,430,0.333,0.315,N
856,0.264,148,532,0.451,0.360,N
1253,0.276,31,749,0.378,0.323,N
788,0.267,47,253,0.379,0.351,N
1525,0.313,229,872,0.536,0.387,N
1056,0.261,82,569,0.383,0.329,N
1016,0.257,27,322,0.335,0.321,N
815,0.239,73,351,0.357,0.314,N
1195,0.287,18,302,0.364,0.362,N
1199,0.271,157,638,0.454,0.341,N
1158,0.269,211,734,0.485,0.363,N
984,0.257,43,372,0.343,0.310,N
1214,0.285,24,373,0.374,0.344,N
