W,Kper9,IP,ERA,WHIP,Inducted
511,3.43,7354.8,2.63,1.13,Y
364,2.71,6003.3,2.86,1.19,Y
417,5.34,5914.7,2.17,1.06,Y
318,5.57,5404.3,3.35,1.27,Y
324,9.55,5386.0,3.19,1.25,Y
314,5.94,5350.5,3.11,1.18,Y
324,6.09,5282.3,3.26,1.14,Y
363,4.43,5243.9,3.09,1.19,Y
329,7.13,5217.3,3.22,1.25,Y
373,3.81,5189.9,2.56,1.12,Y
361,3.32,5056.3,2.95,1.22,Y
342,4.57,5047.6,2.62,1.12,Y
287,6.70,4969.9,3.31,1.20,Y
354,8.55,4916.6,3.12,1.17,N
307,3.47,4801.9,2.71,1.23,Y
311,6.85,4782.6,2.86,1.12,Y
373,4.71,4780.8,2.13,1.06,Y
288,4.29,4710.1,3.34,1.28,N
286,4.52,4688.7,3.41,1.17,Y
300,4.60,4564.2,3.54,1.33,Y
328,3.92,4536.4,2.81,1.21,Y
309,3.63,4535.3,2.67,1.15,Y
283,4.89,4530.2,3.45,1.26,N
284,6.38,4500.4,3.34,1.14,Y
326,4.50,4495.8,2.35,1.12,N
266,2.70,4494.6,3.15,1.27,Y
273,4.12,4343.8,3.80,1.34,Y
240,5.96,4188.1,3.66,1.27,N
270,3.26,4180.1,3.53,1.37,Y
260,2.32,4161.1,3.67,1.35,Y
254,3.24,4086.6,3.15,1.30,Y
245,4.84,3999.8,3.70,1.27,N
249,3.72,3996.1,2.63,1.21,Y
268,5.04,3948.0,2.86,1.18,Y
300,5.18,3940.6,3.06,1.28,Y
247,3.05,3920.5,3.29,1.30,N
251,7.22,3884.4,2.91,1.19,Y
229,2.83,3883.1,3.84,1.41,N
222,5.99,3839.3,3.36,1.26,N
266,6.07,3827.1,3.25,1.32,Y
254,5.83,3824.1,3.90,1.30,N
216,5.59,3801.1,3.75,1.30,N
245,4.62,3769.6,3.07,1.35,Y
237,2.88,3762.4,3.59,1.34,Y
224,6.83,3760.2,3.27,1.18,Y
211,4.98,3759.6,3.98,1.46,N
220,4.68,3669.7,3.64,1.32,N
223,3.72,3645.1,3.46,1.28,N
217,7.01,3638.5,3.44,1.23,N
234,2.18,3628.6,2.31,1.09,N
253,4.20,3590.4,2.98,1.17,Y
221,4.39,3584.1,3.59,1.32,N
240,3.09,3571.6,3.60,1.35,Y
218,3.41,3564.4,4.36,1.50,N
214,5.11,3548.5,3.37,1.27,N
229,2.64,3542.6,2.28,1.11,N
243,5.91,3507.2,2.89,1.10,Y
229,6.24,3486.3,3.30,1.20,N
216,3.24,3480.2,2.89,1.23,N
196,4.19,3460.2,3.30,1.27,N
224,5.25,3449.3,3.26,1.13,Y
246,2.79,3441.3,2.66,1.19,N
239,5.76,3438.9,4.13,1.27,N
209,6.52,3432.0,2.95,1.15,Y
223,3.05,3426.3,3.80,1.41,N
237,2.54,3385.8,3.31,1.31,N
194,4.08,3367.6,3.76,1.29,N
175,2.94,3355.9,3.68,1.43,N
193,4.56,3348.3,3.54,1.31,N
209,5.85,3343.4,3.27,1.23,N
201,4.34,3306.9,3.08,1.24,Y
211,5.44,3306.5,3.27,1.26,N
215,4.32,3285.8,3.45,1.26,N
197,6.58,3285.6,3.50,1.16,Y
216,8.60,3261.0,3.46,1.14,N
211,6.62,3256.3,3.28,1.22,N
217,2.43,3223.8,3.51,1.30,N
194,3.16,3220.4,3.24,1.29,N
191,3.27,3218.5,3.25,1.26,N
210,2.75,3208.6,3.64,1.35,Y
201,4.11,3197.3,3.59,1.30,N
200,7.35,3197.1,3.85,1.38,N
209,4.88,3186.1,3.40,1.23,N
239,3.90,3172.2,2.06,1.07,Y
236,5.55,3170.4,2.75,1.22,Y
188,3.03,3160.6,3.37,1.34,N
204,5.79,3130.4,3.48,1.26,N
188,4.74,3126.8,3.69,1.29,N
186,2.07,3126.5,3.73,1.44,N
200,3.27,3119.7,3.99,1.40,N
198,3.21,3104.6,3.30,1.32,N
211,5.73,3092.2,3.47,1.27,N
195,3.85,3087.4,3.51,1.38,N
215,2.86,3081.9,2.89,1.25,Y
170,3.30,3074.7,3.01,1.23,N
203,3.15,3067.3,3.66,1.24,N
185,4.15,3043.8,3.96,1.45,N
207,2.57,3021.4,2.92,1.21,N
212,5.10,3017.0,2.46,1.11,N
171,5.79,3016.7,3.84,1.27,N
194,3.11,2995.3,2.76,1.09,N
207,5.40,2993.0,3.06,1.31,Y
197,6.20,2966.6,3.24,1.23,Y
186,4.71,2964.8,2.69,1.24,N
160,2.70,2964.4,4.04,1.45,N
195,5.27,2964.4,1.82,1.00,N
179,7.49,2962.5,3.97,1.35,N
193,7.04,2961.5,2.16,1.10,N
174,6.65,2930.6,3.63,1.29,N
173,6.37,2930.0,3.54,1.32,N
194,8.28,2898.8,3.46,1.26,N
198,3.93,2896.8,2.68,1.15,N
176,5.19,2895.3,3.44,1.25,N
253,0.44,2890.7,2.14,1.19,Y
174,5.03,2867.4,3.49,1.29,N
207,4.03,2849.9,3.23,1.34,Y
158,5.14,2837.8,3.17,1.23,N
176,5.85,2836.4,3.73,1.30,N
194,5.33,2826.4,3.57,1.37,N
166,3.29,2820.7,3.75,1.39,N
185,5.23,2807.9,3.14,1.20,N
194,7.37,2800.7,3.51,1.26,N
168,3.65,2794.7,3.76,1.29,N
169,3.28,2782.6,2.98,1.27,N
192,3.69,2782.2,3.18,1.25,N
167,4.84,2770.0,3.90,1.33,N
197,3.08,2750.4,2.79,1.19,N
184,4.98,2730.0,3.24,1.21,N
170,4.15,2725.7,3.23,1.35,N
151,5.73,2725.1,3.73,1.30,N
176,2.81,2721.9,3.86,1.40,N
165,2.79,2709.4,3.72,1.36,N
146,4.90,2708.0,3.68,1.33,N
184,2.81,2707.7,3.20,1.24,N
171,5.60,2697.6,4.08,1.39,N
164,4.73,2684.0,3.24,1.23,N
177,5.15,2682.5,3.39,1.31,N
187,3.30,2681.6,3.17,1.26,N
162,3.68,2672.1,3.77,1.28,N
