@relation MLBWinRates

@attribute HR numeric
@attribute SOA numeric
@attribute R numeric
@attribute RA numeric
@attribute SLG numeric
@attribute ERA numeric
@attribute BB numeric
@attribute WHIP numeric
@attribute AVG numeric
@attribute Result {.400,.450,.500,.550,.600}

@data
1,0,301,449,0.264,3.2,32,1.25,0.23,.400
0,0,379,416,0.304,2.4,24,1.09,0.262,.400
7,0,328,425,0.29,2.4,21,1.16,0.233,.400
0,92,366,375,0.34,3.37,57,1.29,0.278,.400
3,182,293,328,0.286,2.32,64,1.22,0.236,.400
7,240,392,414,0.326,2.68,132,1.14,0.255,.400
12,189,430,522,0.333,3.08,109,1.33,0.244,.400
13,324,524,650,0.33,3.58,166,1.35,0.25,.400
8,501,463,571,0.305,3.06,157,1.11,0.231,.400
4,684,572,679,0.284,3.44,118,1.22,0.237,.400
21,408,526,688,0.327,4.15,217,1.3,0.247,.400
22,480,528,589,0.312,3.03,190,1.26,0.232,.400
25,332,904,918,0.35,4.47,456,1.52,0.261,.400
20,248,621,750,0.349,4.12,319,1.38,0.258,.400
19,525,653,779,0.306,3.78,298,1.32,0.229,.400
36,610,779,924,0.356,4.39,507,1.52,0.259,.400
18,447,852,1031,0.328,4.36,430,1.52,0.254,.400
62,408,819,894,0.377,4.85,377,1.52,0.278,.400
2,134,182,192,0.289,4,125,1.37,0.229,.400
24,461,702,945,0.314,5.22,475,1.7,0.235,.400
14,454,698,831,0.329,4.98,457,1.54,0.259,.400
27,325,849,1027,0.386,4.23,509,1.71,0.286,.400
20,502,702,777,0.308,3.75,529,1.43,0.237,.400
28,331,549,643,0.32,3.43,428,1.52,0.234,.400
23,407,765,820,0.345,3.86,464,1.44,0.26,.400
40,393,646,790,0.335,3.55,414,1.39,0.242,.400
29,446,679,744,0.318,2.89,427,1.36,0.239,.400
18,430,649,804,0.284,3.34,433,1.34,0.226,.400
32,273,829,874,0.379,4.81,465,1.64,0.279,.400
19,190,759,942,0.343,5.9,485,1.77,0.26,.400
10,301,745,829,0.341,4.06,524,1.52,0.264,.400
65,281,1041,1066,0.441,5.68,496,1.84,0.314,.400
61,219,910,1085,0.41,5.99,508,1.81,0.294,.400
54,319,771,953,0.408,5.29,442,1.65,0.286,.400
28,259,692,764,0.379,4.25,344,1.53,0.284,.400
45,292,818,920,0.388,4.61,516,1.65,0.286,.400
38,361,832,894,0.386,4.53,430,1.6,0.282,.400
40,267,669,859,0.358,4.42,370,1.6,0.265,.400
40,253,752,792,0.398,4.6,399,1.54,0.293,.400
23,397,734,863,0.352,4.29,387,1.63,0.281,.400
33,399,703,745,0.354,3.83,333,1.4,0.266,.400
23,277,713,823,0.357,3.96,369,1.55,0.279,.400
47,300,707,790,0.396,4.36,329,1.42,0.283,.400
5,504,484,649,0.293,3.5,356,1.37,0.247,.400
10,400,517,695,0.304,3.47,273,1.42,0.258,.400
14,391,516,613,0.314,3.02,325,1.23,0.247,.400
25,516,578,699,0.318,3.34,398,1.44,0.245,.400
11,556,505,627,0.292,2.77,344,1.24,0.231,.400
10,577,481,604,0.294,2.83,332,1.18,0.239,.400
22,539,559,623,0.302,2.87,298,1.2,0.224,.400
25,476,496,625,0.308,3.13,388,1.27,0.236,.400
16,567,533,582,0.304,2.69,395,1.25,0.238,.400
18,479,446,522,0.298,2.38,336,1.24,0.232,.400
15,481,526,519,0.318,2.41,372,1.23,0.247,.400
21,741,486,562,0.292,2.56,368,1.15,0.223,.400
8,649,479,539,0.296,2.34,368,1.14,0.235,.400
17,416,537,622,0.293,2.79,414,1.2,0.239,.400
10,620,441,575,0.279,2.88,331,1.23,0.232,.400
7,785,457,479,0.261,2.03,403,1.06,0.211,.400
9,674,501,550,0.288,2.46,449,1.16,0.236,.400
25,555,497,623,0.305,3.07,434,1.32,0.229,.400
15,466,639,718,0.319,3.78,655,1.45,0.248,.400
16,628,625,766,0.32,3.52,466,1.39,0.258,.400
28,533,539,659,0.311,3.39,425,1.37,0.237,.400
27,487,659,830,0.352,3.85,508,1.5,0.268,.400
24,468,624,716,0.355,3.38,496,1.37,0.265,.400
39,548,595,613,0.363,3.13,361,1.26,0.27,.400
27,522,607,717,0.347,3.46,458,1.34,0.261,.400
39,600,644,683,0.364,3.41,399,1.35,0.267,.400
34,510,605,698,0.352,3.56,410,1.36,0.262,.400
26,661,565,697,0.326,3.59,503,1.34,0.247,.400
18,488,503,540,0.303,2.7,416,1.18,0.233,.400
19,566,521,680,0.315,3.04,472,1.33,0.246,.400
46,616,520,541,0.325,2.65,399,1.15,0.239,.400
20,596,484,586,0.316,2.76,372,1.21,0.24,.400
13,374,476,557,0.318,3.4,452,1.35,0.249,.400
22,277,412,538,0.308,3.22,343,1.38,0.243,.400
13,340,424,469,0.307,2.9,350,1.24,0.244,.400
25,312,430,507,0.313,3.15,346,1.28,0.244,.400
24,536,533,570,0.339,3.01,416,1.32,0.26,.400
24,374,465,563,0.324,3.17,355,1.3,0.253,.400
36,418,723,802,0.386,4.17,433,1.49,0.291,.400
23,368,523,670,0.339,3.54,385,1.36,0.26,.400
64,419,565,714,0.364,3.63,283,1.39,0.263,.400
35,392,683,858,0.379,4.94,445,1.58,0.283,.400
37,441,668,773,0.378,4.39,343,1.48,0.292,.400
111,373,705,830,0.402,4.59,437,1.5,0.27,.400
45,422,650,706,0.367,3.81,458,1.46,0.268,.400
34,412,584,809,0.351,4.2,391,1.5,0.261,.400
42,467,692,741,0.373,4.05,532,1.46,0.279,.400
30,414,737,806,0.374,4.35,603,1.5,0.277,.400
41,360,793,858,0.382,4.74,604,1.57,0.288,.400
41,315,755,814,0.399,4.4,492,1.56,0.296,.400
67,393,740,750,0.411,4.15,382,1.48,0.29,.400
110,492,706,774,0.41,4.33,470,1.49,0.275,.400
64,518,786,866,0.406,4.77,437,1.54,0.296,.400
86,435,723,773,0.397,4.41,397,1.5,0.275,.400
100,371,812,930,0.425,5.02,456,1.63,0.295,.400
72,337,682,845,0.394,4.66,437,1.61,0.276,.400
16,408,624,719,0.35,4.01,426,1.46,0.277,.400
26,366,668,766,0.379,4.27,381,1.52,0.283,.400
39,574,541,619,0.342,3.36,368,1.31,0.253,.400
34,416,674,830,0.382,4.47,377,1.54,0.285,.400
62,451,744,804,0.401,4.32,469,1.49,0.279,.400
34,347,686,760,0.379,4.41,412,1.44,0.281,.400
63,471,729,884,0.391,4.71,389,1.5,0.276,.400
75,470,751,886,0.391,5.07,497,1.52,0.268,.400
37,365,625,800,0.349,4.6,405,1.49,0.262,.400
76,436,722,870,0.39,4.76,488,1.52,0.271,.400
34,419,533,680,0.341,3.9,368,1.36,0.258,.400
81,499,684,828,0.4,4.58,437,1.55,0.279,.400
67,496,736,898,0.388,5.01,507,1.57,0.276,.400
50,467,700,758,0.377,4.35,525,1.5,0.271,.400
43,423,683,814,0.36,4.45,538,1.48,0.272,.400
62,415,617,695,0.359,3.73,397,1.35,0.263,.400
62,499,674,800,0.373,4.49,514,1.58,0.268,.400
51,412,729,806,0.382,4.68,570,1.54,0.278,.400
73,435,718,930,0.384,5.26,593,1.67,0.27,.400
32,456,823,903,0.381,5.25,596,1.66,0.285,.400
73,500,646,772,0.378,4.3,392,1.42,0.265,.400
92,475,685,871,0.378,4.76,392,1.57,0.269,.400
33,651,662,752,0.353,3.98,390,1.42,0.272,.400
37,592,616,772,0.354,4.13,469,1.43,0.265,.400
67,432,709,752,0.383,4.36,514,1.52,0.277,.400
44,521,702,797,0.379,4.6,547,1.49,0.278,.400
56,430,572,659,0.348,3.71,366,1.41,0.264,.400
63,464,666,721,0.384,4.15,477,1.45,0.276,.400
118,439,757,882,0.401,5.12,556,1.63,0.263,.400
52,618,665,811,0.374,4.59,468,1.56,0.271,.400
59,435,623,745,0.349,4.36,402,1.48,0.256,.400
85,386,713,840,0.387,4.83,574,1.52,0.268,.400
48,446,592,720,0.334,3.95,471,1.44,0.251,.400
25,432,538,609,0.318,3.58,497,1.35,0.246,.400
40,496,653,817,0.341,4.58,581,1.53,0.258,.400
75,507,591,665,0.353,3.6,509,1.41,0.254,.400
54,426,585,631,0.33,3.58,537,1.34,0.245,.400
57,513,563,607,0.332,3.45,486,1.39,0.244,.400
39,409,465,612,0.309,3.25,469,1.29,0.233,.400
66,431,571,676,0.335,3.79,499,1.36,0.249,.400
33,503,592,664,0.33,3.49,470,1.36,0.261,.400
56,487,690,832,0.366,4.68,486,1.56,0.269,.400
79,454,593,674,0.353,3.67,456,1.41,0.246,.400
93,499,682,773,0.37,4.29,512,1.47,0.263,.400
101,404,721,728,0.374,4.04,520,1.46,0.267,.400
79,789,537,638,0.356,3.62,506,1.39,0.245,.400
84,574,621,710,0.356,3.95,465,1.47,0.251,.400
65,506,523,570,0.327,3.08,493,1.27,0.239,.400
80,490,560,705,0.359,3.99,417,1.45,0.258,.400
60,458,552,668,0.344,3.72,592,1.44,0.25,.400
42,551,496,675,0.321,3.97,525,1.46,0.241,.400
71,571,567,722,0.361,4.04,471,1.51,0.259,.400
60,514,589,687,0.352,3.96,464,1.4,0.258,.400
156,530,744,817,0.406,4.68,607,1.51,0.261,.400
87,636,597,706,0.369,4,443,1.46,0.262,.400
104,599,588,752,0.365,4.47,478,1.48,0.247,.400
91,550,591,729,0.368,4.08,440,1.43,0.259,.400
43,502,648,737,0.347,4.3,702,1.51,0.257,.400
86,538,627,770,0.368,4.34,429,1.47,0.26,.400
76,486,690,813,0.36,4.66,671,1.56,0.26,.400
161,559,643,772,0.401,4.28,479,1.49,0.248,.400
99,686,654,734,0.376,4.32,504,1.43,0.26,.400
54,475,672,764,0.355,4.49,560,1.51,0.263,.400
103,544,614,750,0.364,4.34,477,1.44,0.25,.400
88,584,559,667,0.351,3.7,415,1.33,0.248,.400
137,580,689,845,0.397,4.79,557,1.51,0.258,.400
82,581,604,733,0.356,4.12,540,1.42,0.25,.400
110,687,569,651,0.343,3.78,483,1.37,0.233,.400
104,579,615,659,0.366,4.01,480,1.39,0.249,.400
137,623,633,835,0.399,4.79,514,1.5,0.26,.400
166,506,714,788,0.403,4.64,485,1.44,0.261,.400
123,707,700,728,0.395,4.01,654,1.45,0.266,.400
90,603,584,664,0.367,3.81,492,1.36,0.258,.400
81,562,632,680,0.355,3.84,610,1.42,0.246,.400
159,622,700,766,0.412,4.51,478,1.45,0.263,.400
121,572,638,911,0.382,5.35,463,1.59,0.261,.400
143,730,654,757,0.4,4.56,458,1.4,0.261,.400
91,715,571,705,0.35,4.2,563,1.4,0.244,.400
145,765,540,650,0.382,3.78,402,1.33,0.244,.400
110,662,588,653,0.38,3.74,383,1.36,0.257,.400
147,859,628,722,0.38,4.13,461,1.42,0.244,.400
157,701,643,701,0.393,4.01,447,1.36,0.252,.400
92,663,586,696,0.384,3.88,374,1.35,0.268,.400
124,778,664,762,0.4,4.32,573,1.38,0.266,.400
117,703,681,760,0.39,4.35,481,1.43,0.263,.400
163,694,619,701,0.379,4.01,517,1.34,0.237,.400
113,769,599,725,0.362,4.27,498,1.35,0.242,.400
124,767,658,775,0.389,4.62,570,1.48,0.261,.400
140,740,640,692,0.388,4,512,1.34,0.25,.400
189,973,744,784,0.398,4.31,681,1.46,0.245,.400
167,914,707,778,0.397,4.28,597,1.39,0.25,.400
176,755,689,800,0.418,4.48,539,1.41,0.255,.400
116,825,745,837,0.386,4.79,556,1.47,0.263,.400
105,1047,592,717,0.351,3.83,493,1.32,0.246,.400
95,889,597,660,0.354,3.52,448,1.3,0.25,.400
62,937,464,640,0.301,3.44,456,1.19,0.22,.400
186,1094,688,793,0.416,4.5,504,1.43,0.258,.400
70,852,495,628,0.315,3.41,381,1.24,0.229,.400
136,867,591,721,0.35,3.93,570,1.4,0.228,.400
134,855,635,723,0.358,3.78,532,1.33,0.238,.400
97,931,569,711,0.34,3.84,502,1.26,0.237,.400
145,977,655,731,0.376,3.92,542,1.35,0.24,.400
162,842,611,612,0.374,3.41,485,1.24,0.235,.400
126,866,557,659,0.355,3.7,450,1.22,0.234,.400
112,929,612,695,0.365,3.76,491,1.29,0.255,.400
98,773,587,761,0.342,4.17,446,1.41,0.239,.400
100,898,522,621,0.317,3.24,532,1.25,0.225,.400
93,1060,626,742,0.364,4.03,537,1.33,0.249,.400
83,869,498,615,0.318,3.43,447,1.22,0.227,.400
71,834,463,527,0.311,2.75,397,1.19,0.228,.400
124,826,524,665,0.336,3.64,454,1.33,0.224,.400
66,1021,510,588,0.317,3.26,479,1.27,0.231,.400
88,885,528,652,0.319,3.54,516,1.26,0.23,.400
112,810,625,723,0.357,4.21,552,1.42,0.247,.400
98,894,586,688,0.338,3.72,522,1.31,0.24,.400
97,915,611,705,0.348,3.78,514,1.36,0.244,.400
126,895,613,751,0.358,4.21,592,1.37,0.242,.400
138,823,626,689,0.358,3.8,635,1.36,0.238,.400
104,795,534,609,0.329,3.38,543,1.32,0.229,.400
88,829,622,729,0.343,4.12,543,1.45,0.246,.400
123,838,558,688,0.35,3.71,499,1.31,0.233,.400
88,740,493,595,0.328,3.45,472,1.28,0.235,.400
91,888,513,609,0.325,3.59,474,1.33,0.234,.400
150,771,662,649,0.384,3.69,480,1.31,0.244,.400
158,883,680,826,0.387,4.58,471,1.46,0.256,.400
134,919,642,717,0.371,3.99,476,1.43,0.249,.400
95,986,618,657,0.356,3.52,509,1.38,0.254,.400
131,869,620,768,0.366,4.16,436,1.42,0.247,.400
110,895,669,826,0.365,4.28,621,1.48,0.251,.400
96,908,572,646,0.329,3.42,597,1.32,0.235,.400
93,756,634,723,0.358,3.78,548,1.37,0.252,.400
